pid,5,9,12,14,16,19,20,22,30,31,36,37,42,46,52,53,60,61,65,67,75,76,77,78,79,80,81,89,93,94,95,100,102,105,107,112,117,122,124,126,129,130,134,135,136,138,140,141,142,143,144,146,147,148,149,150
P28,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes
P18,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes
P11,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes
P13,yes,no,no,yes,yes,yes,no,yes,no,no,abstain,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes
P20,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
P35,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,yes
P07,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes
P22,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
P25,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes
P19,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip,skip
P14,yes,yes,yes,no,yes,yes,skip,no,yes,yes,no,skip,yes,abstain,yes,skip,yes,skip,skip,yes,skip,yes,skip,skip,yes,yes,yes,yes,yes,no,skip,no,skip,no,skip,yes,abstain,skip,yes,yes,no,yes,yes,no,no,yes,skip,no,no,yes,skip,skip,skip,yes,skip,no
P23,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no
P06,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,skip,yes
P37,no,no,no,skip,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes
P01,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes
P02,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,no
P10,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes
